continent,country,country_name,name,lat,lng,population,capital
AS,AM,Armenia,Gyumri,40.79305,43.84635,112301,Yerevan
AS,AM,Armenia,Dilijan,40.74037,44.86344,16400,Yerevan
AS,AM,Armenia,Davtashen,40.21642,44.48088,51800,Yerevan
AS,AM,Armenia,Charentsavan,40.40289,44.64447,22763,Yerevan
AS,AM,Armenia,Avan,40.21436,44.57846,58700,Yerevan
AS,AM,Armenia,Ashtarak,40.2976,44.36152,17600,Yerevan
AS,AM,Armenia,Artik,40.61918,43.97207,17950,Yerevan
AS,AM,Armenia,Abovyan,40.2717,44.63342,47546,Yerevan
AS,AM,Armenia,Erebuni,40.13309,44.53009,129500,Yerevan
AS,AM,Armenia,Nor Nork,40.19661,44.5669,136900,Yerevan
AS,AM,Armenia,Ajapnyak,40.19917,44.47056,122300,Yerevan
AS,AM,Armenia,Kanaker-Zeytun,40.22,44.53833,75000,Yerevan
AS,AM,Armenia,Malatia-Sebastia,40.17396,44.4457,150000,Yerevan
AS,AM,Armenia,Kentron,40.17806,44.51303,132800,Yerevan
AS,AM,Armenia,Shengavit,40.1557,44.4779,140400,Yerevan
AS,AM,Armenia,Arabkir,40.20624,44.50365,118870,Yerevan
AF,AO,Angola,Saurimo,-9.66078,20.39155,393000,Luanda
AF,AO,Angola,Lucapa,-8.41915,20.74466,110000,Luanda
AF,AO,Angola,Dundo,-7.36643,20.81557,177604,Luanda
AF,AO,Angola,Chitato,-7.3,20.73333,246880,Luanda
AF,AO,Angola,Cassanguidi,-7.48367,21.30339,20000,Luanda
AF,AO,Angola,Lumbala,-14.10165,21.43531,19000,Luanda
AF,AO,Angola,Luau,-10.70727,22.22466,55432,Luanda
AF,AO,Angola,Cazombo,-11.89914,22.90216,34000,Luanda
AF,AO,Angola,Nzagi,-8.38549,15.30126,60000,Luanda
AF,AO,Angola,Uíge,-7.60874,15.06131,322531,Luanda
AF,AO,Angola,Tombôco,-6.80517,13.33017,20358,Luanda
AF,AO,Angola,Soyo,-6.1349,12.36894,200920,Luanda
AF,AO,Angola,Songo,-7.35207,14.84629,31382,Luanda
AF,AO,Angola,Sanza Pombo,-7.31473,16.0024,23000,Luanda
AF,AO,Angola,N'zeto,-7.228,12.86956,28840,Luanda
AF,AO,Angola,Negage,-7.75938,15.2722,92950,Luanda
AF,AO,Angola,N'dalatando,-9.29782,14.91162,161584,Luanda
AF,AO,Angola,Mussende,-10.5143,16.0199,33558,Luanda
AF,AO,Angola,Mbanza Kongo,-6.26667,14.23833,148000,Luanda
AF,AO,Angola,Maquela do Zombo,-6.05716,15.10971,42000,Luanda
AF,AO,Angola,Malanje,-9.54015,16.34096,455000,Luanda
AF,AO,Angola,Lucala,-9.27268,15.25206,19422,Luanda
AF,AO,Angola,Lubalo,-9.15445,19.28136,26103,Luanda
AF,AO,Angola,Luanda,-8.83682,13.23432,2776168,Luanda
AF,AO,Angola,Cunda diá Baze,-8.90769,17.05339,15965,Luanda
AF,AO,Angola,Golungo Alto,-9.13333,14.76667,19992,Luanda
AF,AO,Angola,Dondo,-9.68456,14.42788,64643,Luanda
AF,AO,Angola,Dondo,-9.05,15.31667,64643,Luanda
AF,AO,Angola,Cuímba,-6.12085,14.62086,41878,Luanda
AF,AO,Angola,Cuilo,-8.23619,19.52566,26577,Luanda
AF,AO,Angola,Cuango-Luzamba,-9.14583,18.04453,55000,Luanda
AF,AO,Angola,Cazombo,-8.73204,15.37124,34000,Luanda
AF,AO,Angola,Caxito,-8.57848,13.66425,55000,Luanda
AF,AO,Angola,Cangandala,-9.78333,16.43333,16232,Luanda
AF,AO,Angola,Camabatela,-8.18812,15.37495,21767,Luanda
AF,AO,Angola,Cacuso,-9.42102,15.74668,39302,Luanda
AF,AO,Angola,Cabinda,-5.56198,12.19476,550000,Luanda
AF,AO,Angola,Buco Zau,-4.76667,12.55,40953,Luanda
AF,AO,Angola,Belize,-4.65,12.76667,24430,Luanda
AF,AO,Angola,Barra do Dande,-8.47175,13.37011,75000,Luanda
AF,AO,Angola,Bailundo,-9.57499,15.99442,70481,Luanda
AF,AO,Angola,Gama,-8.5675,13.47639,66202,Luanda
AF,AO,Angola,Xangongo,-16.7444,14.97494,35000,Luanda
AF,AO,Angola,Alto Hama,-12.23333,15.55,17000,Luanda
AF,AO,Angola,Virei,-15.727,12.94961,42607,Luanda
AF,AO,Angola,Ucuma,-12.96121,15.05958,21809,Luanda
AF,AO,Angola,Ucu Seles,-11.41237,14.30663,47421,Luanda
AF,AO,Angola,Tômbua,-15.80394,11.84485,46573,Luanda
AF,AO,Angola,Sumbe,-11.20605,13.84371,205832,Luanda
AF,AO,Angola,Quipungo,-14.81909,14.53504,23014,Luanda
AF,AO,Angola,Quibala,-10.73366,14.97995,27128,Luanda
AF,AO,Angola,Porto Amboim,-10.73251,13.76844,91605,Luanda
AF,AO,Angola,Ondjiva,-17.06667,15.73333,121537,Luanda
AF,AO,Angola,Nharêa,-11.47512,16.96496,18000,Luanda
AF,AO,Angola,Mossamedes,-15.19611,12.15222,255000,Luanda
AF,AO,Angola,Mungo,-11.83268,16.23613,21662,Luanda
AF,AO,Angola,Menongue,-14.6585,17.69099,251178,Luanda
AF,AO,Angola,Matala,-14.73272,15.03479,78000,Luanda
AF,AO,Angola,Luquembo,-10.73912,17.71766,69420,Luanda
AF,AO,Angola,Luena,-11.78333,19.91667,273675,Luanda
